,date,method,class_1,class_2,class_3,class_4
285,9/9/2020,Individual,0,0,0,873
286,9/9/2020,PET (20),53,91,176,274
287,9/9/2020,PET (4),53,109,168,275
288,9/9/2020,tOPS,0,142,184,274
289,9/10/2020,Fixed (20),0,17,183,154
290,9/10/2020,Fixed (4),0,80,75,154
291,9/10/2020,Hist Prev (20),0,68,81,154
292,9/10/2020,Hist Prev (4),0,80,75,154
293,9/10/2020,Individual,0,0,0,471
294,9/10/2020,PET (20),28,40,68,154
295,9/10/2020,PET (4),28,57,65,154
296,9/10/2020,tOPS,0,57,75,154
297,9/11/2020,Fixed (20),0,18,175,118
298,9/11/2020,Fixed (4),0,80,52,118
299,9/11/2020,Hist Prev (20),0,53,93,119
300,9/11/2020,Hist Prev (4),0,80,52,118
301,9/11/2020,Individual,0,0,0,433
302,9/11/2020,PET (20),27,44,59,118
303,9/11/2020,PET (4),27,57,49,118
304,9/11/2020,tOPS,0,49,80,120
305,9/14/2020,Fixed (20),0,6,20,179
306,9/14/2020,Fixed (4),0,27,4,179
307,9/14/2020,Hist Prev (20),0,21,5,180
308,9/14/2020,Hist Prev (4),0,27,4,179
309,9/14/2020,Individual,0,0,0,285
310,9/14/2020,PET (20),9,3,20,179
311,9/14/2020,PET (4),9,19,4,179
312,9/14/2020,tOPS,0,10,11,179
313,9/15/2020,Fixed (20),0,24,334,125
314,9/15/2020,Fixed (4),0,108,116,128
315,9/15/2020,Hist Prev (20),0,90,135,127
316,9/15/2020,Hist Prev (4),0,108,116,128
317,9/15/2020,Individual,0,0,0,558
318,9/15/2020,PET (20),38,69,133,125
319,9/15/2020,PET (4),38,79,109,126
320,9/15/2020,tOPS,0,87,155,126
321,9/16/2020,Fixed (20),0,22,378,113
322,9/16/2020,Fixed (4),0,101,152,115
323,9/16/2020,Hist Prev (20),0,87,171,114
324,9/16/2020,Hist Prev (4),0,101,152,115
325,9/16/2020,Individual,0,0,0,519
326,9/16/2020,PET (20),36,77,140,114
327,9/16/2020,PET (4),36,77,133,114
328,9/16/2020,tOPS,0,92,167,115
329,9/17/2020,Fixed (20),0,23,302,345
330,9/17/2020,Fixed (4),0,107,112,345
331,9/17/2020,Hist Prev (20),0,94,121,345
332,9/17/2020,Hist Prev (4),0,107,112,345
333,9/17/2020,Individual,0,0,0,769
334,9/17/2020,PET (20),36,62,111,346
335,9/17/2020,PET (4),36,77,100,345
336,9/17/2020,tOPS,0,69,156,345
337,9/21/2020,Fixed (20),0,18,200,115
338,9/21/2020,Fixed (4),0,88,52,115
339,9/21/2020,Hist Prev (20),0,71,65,115
340,9/21/2020,Hist Prev (4),0,88,52,115
341,9/21/2020,Individual,0,0,0,467
342,9/21/2020,PET (20),30,43,63,115
343,9/21/2020,PET (4),30,65,50,115
344,9/21/2020,tOPS,0,59,78,115
345,9/22/2020,Fixed (20),0,11,134,153
346,9/22/2020,Fixed (4),0,51,48,153
347,9/22/2020,Hist Prev (20),0,44,54,153
348,9/22/2020,Hist Prev (4),0,51,48,153
349,9/22/2020,Individual,0,0,0,355
350,9/22/2020,PET (20),18,34,47,153
351,9/22/2020,PET (4),18,40,42,154
352,9/22/2020,tOPS,0,31,69,153
353,9/23/2020,Fixed (20),0,17,220,191
354,9/23/2020,Fixed (4),0,73,72,191
355,9/23/2020,Hist Prev (20),0,62,84,192
356,9/23/2020,Hist Prev (4),0,73,72,191
357,9/23/2020,Individual,0,0,0,479
358,9/23/2020,PET (20),26,46,72,191
359,9/23/2020,PET (4),26,52,65,191
360,9/23/2020,tOPS,0,58,90,192
361,9/24/2020,Fixed (20),0,16,196,116
362,9/24/2020,Fixed (4),0,72,80,116
363,9/24/2020,Hist Prev (20),0,65,84,116
364,9/24/2020,Hist Prev (4),0,72,80,116
365,9/24/2020,Individual,0,0,0,401
366,9/24/2020,PET (20),25,46,78,116
367,9/24/2020,PET (4),25,58,69,116
368,9/24/2020,tOPS,0,49,108,116
369,9/25/2020,Fixed (20),0,9,129,171
370,9/25/2020,Fixed (4),0,39,43,172
371,9/25/2020,Hist Prev (20),0,35,44,171
372,9/25/2020,Hist Prev (4),0,39,43,172
373,9/25/2020,Individual,0,0,0,327
374,9/25/2020,PET (20),14,25,40,171
375,9/25/2020,PET (4),14,28,38,173
376,9/25/2020,tOPS,0,29,50,171
377,9/28/2020,Fixed (20),0,14,220,125
378,9/28/2020,Fixed (4),0,66,83,125
379,9/28/2020,Hist Prev (20),0,56,96,125
380,9/28/2020,Hist Prev (4),0,66,83,125
381,9/28/2020,Individual,0,0,0,386
382,9/28/2020,PET (20),23,47,78,126
383,9/28/2020,PET (4),23,47,74,126
384,9/28/2020,tOPS,0,56,96,125
385,9/29/2020,Fixed (20),0,25,135,91
386,9/29/2020,Fixed (4),0,122,36,91
387,9/29/2020,Hist Prev (20),0,109,45,91
388,9/29/2020,Hist Prev (4),0,122,36,91
389,9/29/2020,Individual,0,0,0,578
390,9/29/2020,PET (20),42,39,42,91
391,9/29/2020,PET (4),42,90,33,92
392,9/29/2020,tOPS,0,41,72,91
393,9/30/2020,Fixed (20),0,21,118,111
394,9/30/2020,Fixed (4),0,103,24,111
395,9/30/2020,Hist Prev (20),0,89,28,111
396,9/30/2020,Hist Prev (4),0,103,24,111
397,9/30/2020,Individual,0,0,0,520
398,9/30/2020,PET (20),35,26,50,111
399,9/30/2020,PET (4),35,75,23,111
400,9/30/2020,tOPS,0,33,76,111
401,10/1/2020,Fixed (20),0,17,165,251
402,10/1/2020,Fixed (4),0,77,44,252
403,10/1/2020,Hist Prev (20),0,65,54,251
404,10/1/2020,Hist Prev (4),0,77,44,252
405,10/1/2020,Individual,0,0,0,560
406,10/1/2020,PET (20),27,38,68,251
407,10/1/2020,PET (4),27,56,43,251
408,10/1/2020,tOPS,0,38,86,252
409,10/2/2020,Fixed (20),0,16,207,157
410,10/2/2020,Fixed (4),0,77,60,158
411,10/2/2020,Hist Prev (20),0,67,70,158
412,10/2/2020,Hist Prev (4),0,77,60,158
413,10/2/2020,Individual,0,0,0,464
414,10/2/2020,PET (20),27,41,65,157
415,10/2/2020,PET (4),27,55,56,157
416,10/2/2020,tOPS,0,56,85,157
417,10/5/2020,Fixed (20),0,20,100,159
418,10/5/2020,Fixed (4),0,99,24,159
419,10/5/2020,Hist Prev (20),0,82,30,159
420,10/5/2020,Hist Prev (4),0,99,24,159
421,10/5/2020,Individual,0,0,0,551
422,10/5/2020,PET (20),34,26,43,159
423,10/5/2020,PET (4),34,71,22,159
424,10/5/2020,tOPS,0,46,48,159
425,10/6/2020,Fixed (20),0,25,228,187
426,10/6/2020,Fixed (4),0,122,60,187
427,10/6/2020,Hist Prev (20),0,98,70,187
428,10/6/2020,Hist Prev (4),0,122,60,187
429,10/6/2020,Individual,0,0,0,675
430,10/6/2020,PET (20),41,60,78,187
431,10/6/2020,PET (4),41,91,54,188
432,10/6/2020,tOPS,0,55,117,187
433,10/7/2020,Fixed (20),0,34,360,183
434,10/7/2020,Fixed (4),0,165,96,183
435,10/7/2020,Hist Prev (20),0,132,120,183
436,10/7/2020,Hist Prev (4),0,165,96,183
437,10/7/2020,Individual,0,0,0,840
438,10/7/2020,PET (20),56,76,123,184
439,10/7/2020,PET (4),56,121,90,183
440,10/7/2020,tOPS,0,83,176,183
441,10/8/2020,Fixed (20),0,10,120,284
442,10/8/2020,Fixed (4),0,50,36,284
443,10/8/2020,Hist Prev (20),0,33,48,284
444,10/8/2020,Hist Prev (4),0,50,36,284
445,10/8/2020,Individual,0,0,0,482
446,10/8/2020,PET (20),17,24,42,284
447,10/8/2020,PET (4),17,36,32,284
448,10/8/2020,tOPS,0,33,48,284
449,10/9/2020,Fixed (20),0,16,180,150
450,10/9/2020,Fixed (4),0,72,48,150
451,10/9/2020,Hist Prev (20),0,57,68,150
452,10/9/2020,Hist Prev (4),0,72,48,150
453,10/9/2020,Individual,0,0,0,436
454,10/9/2020,PET (20),25,29,64,150
455,10/9/2020,PET (4),25,52,46,151
456,10/9/2020,tOPS,0,44,76,150
457,10/12/2020,Fixed (20),0,26,120,167
458,10/12/2020,Fixed (4),0,126,28,167
459,10/12/2020,Hist Prev (20),0,84,42,167
460,10/12/2020,Hist Prev (4),0,126,28,167
461,10/12/2020,Individual,0,0,0,671
462,10/12/2020,PET (20),42,42,51,167
463,10/12/2020,PET (4),42,94,26,167
464,10/12/2020,tOPS,0,42,84,167
465,10/14/2020,Fixed (20),0,34,255,129
466,10/14/2020,Fixed (4),0,164,72,130
467,10/14/2020,Hist Prev (20),0,128,83,129
468,10/14/2020,Hist Prev (4),0,164,72,130
469,10/14/2020,Individual,0,0,0,784
470,10/14/2020,PET (20),56,61,111,130
471,10/14/2020,PET (4),56,121,68,130
472,10/14/2020,tOPS,0,64,150,129
473,10/15/2020,Fixed (20),0,10,94,206
474,10/15/2020,Fixed (4),0,49,24,206
475,10/15/2020,Hist Prev (20),0,33,36,206
476,10/15/2020,Hist Prev (4),0,49,24,206
477,10/15/2020,Individual,0,0,0,400
478,10/15/2020,PET (20),17,17,34,206
479,10/15/2020,PET (4),17,35,22,206
